passageId,name,id,oldid,type,JingDu,WeuDu,HangZhengGou,Shu,start,end,dynasty,level
passage36,廬江郡,PL000000016149,CN0341421Z18AA,中研院歷史地名 ,117.2048,31.1605,中國-安徽省-巢湖市-廬江縣,揚州刺史部,24,220,東漢,郡
passage37,丹陽郡,PL000000016967,CN0341802Z24AA,中研院歷史地名 ,118.7514,30.9457,中國-安徽省-宣城市-宣州區,揚州刺史部,24,220,東漢,郡
passage38,豫章郡,PL000000018607,CN0360103Z05AA,中研院歷史地名 ,115.9064,28.6738,中國-江西省-南昌市-西湖區,揚州刺史部,24,220,東漢,郡
passage39,濟北國,PL000000020318,CN0370113Z22AA,中研院歷史地名 ,116.7665,36.3999,中國-山東省-濟南市-長清區,兗州刺史部,24,220,東漢,郡
passage40,濟南國,PL000000020427,CN0370181Z19AA,中研院歷史地名 ,117.4193,36.7617,中國-山東省-濟南市-章丘市,青州刺史部,24,220,東漢,郡
passage41,齊國,PL000000020632,CN0370305Z21AA,中研院歷史地名 ,118.3548,36.887,中國-山東省-淄博市-臨淄區,青州刺史部,24,220,東漢,郡
passage42,樂安國,PL000000020676,CN0370322Z15AA,中研院歷史地名 ,117.9227,37.1315,中國-山東省-淄博市-高青縣,青州刺史部,24,220,東漢,郡
passage43,東萊郡,PL000000020875,CN0370681Z13AA,中研院歷史地名 ,120.672,37.6388,中國-山東省-煙臺市-龍口市,青州刺史部,24,220,東漢,郡
passage44,北海國,PL000000021068,CN0370725Z04AA,中研院歷史地名 ,118.7887,36.7149,中國-山東省-濰坊市-昌樂縣,青州刺史部,24,220,東漢,郡
passage45,任城國,PL000000021337,CN0370826Z02AA,中研院歷史地名 ,116.7197,35.2569,中國-山東省-濟寧市-微山縣,兗州刺史部,24,220,東漢,郡
passage46,魯國,PL000000021507,CN0370881Z12AA,中研院歷史地名 ,116.9966,35.5976,中國-山東省-濟寧市-曲阜市,豫州刺史部,24,220,東漢,郡
passage47,泰山郡,PL000000021613,CN0370911Z06AA,中研院歷史地名 ,117.3731,36.1877,中國-山東省-泰安市-岱岳區(**),兗州刺史部,24,220,東漢,郡
passage48,東平國,PL000000021694,CN0370923Z39AA,中研院歷史地名 ,116.4233,35.883,中國-山東省-泰安市-東平縣,兗州刺史部,24,220,東漢,郡
passage49,琅邪郡,PL000000021913,CN0371302Z17AA,中研院歷史地名 ,118.3698,35.1307,中國-山東省-臨沂市-蘭山區,徐州刺史部,24,220,東漢,郡
passage50,東海郡,PL000000021946,CN0371322Z07AA,中研院歷史地名 ,118.3248,34.6419,中國-山東省-臨沂市-郯城縣,徐州刺史部,24,220,東漢,郡
passage51,平原郡,PL000000022213,CN0371426Z26AA,中研院歷史地名 ,116.4123,37.0736,中國-山東省-德州市-平原縣,青州刺史部,24,220,東漢,郡
passage52,清河國,PL000000022532,CN0371581Z05AA,中研院歷史地名 ,115.8011,36.8761,中國-山東省-聊城市-臨清市,冀州刺史部,24,220,東漢,郡
passage53,山陽郡,PL000000022906,CN0371724Z24AA,中研院歷史地名 ,116.1128,35.1447,中國-山東省-菏澤市-巨野縣,兗州刺史部,24,220,東漢,郡
passage54,濟陰郡,PL000000022984,CN0371727Z03AA,中研院歷史地名 ,115.5676,35.1057,中國-山東省-菏澤市-定陶縣,兗州刺史部,24,220,東漢,郡
passage55,陳留郡,PL000000023449,CN0410224Z23AA,中研院歷史地名 ,114.5337,34.6618,中國-河南省-開封市-開封縣,兗州刺史部,24,220,東漢,郡
passage56,河南尹,PL000000023522,CN0410300Z02AA,中研院歷史地名 ,112.6329,34.7109,中國-河南省-洛陽市,司隸校尉部,24,220,東漢,郡
passage57,河南尹   *已合併,PL000000023624,CN0410305Z08AA,中研院歷史地名 ,112.3918,34.6646,中國-河南省-洛陽市-澗西區,司隸校尉部,24,220,東漢,郡
passage58,河內郡,PL000000024557,CN0410823Z15AA,中研院歷史地名 ,113.3349,35.0553,中國-河南省-焦作市-武陟縣,司隸校尉部,24,220,東漢,郡
passage59,東郡,PL000000024799,CN0410928Z06AA,中研院歷史地名 ,114.9814,35.6131,中國-河南省-濮陽市-濮陽縣,兗州刺史部,24,220,東漢,郡
passage60,潁川郡,PL000000024924,CN0411081Z18AA,中研院歷史地名 ,113.4762,34.1617,中國-河南省-許昌市-禹州市,豫州刺史部,24,220,東漢,郡
