sequence,SYS_ID,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,BEG_CHG_TY,END_YR,END_RULE,END_CHG_TY,NOTE_ID,OBJ_TYPE,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,FILENAME,X_Y_TYPE,SYS_ID_IN_MAIN_BOU_ID,SYS_ID_IN_MAIN_PT_ID
15084,221435,Loufan Jun,楼烦郡,樓煩郡,0,0,,Jun,郡,3,617,4,辖区缩小,617,4,更名,94225,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15085,221436,Jin Zhou,晋州,晉州,0,0,,Zhou,州,3,758,4,更名,818,4,辖区缩小,94226,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15086,221437,Jin Zhou,晋州,晉州,0,0,,Zhou,州,3,819,4,辖区缩小,959,4,辖区扩大,94227,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15087,221438,Jin Zhou,晋州,晉州,0,0,,Zhou,州,3,960,4,辖区扩大,980,4,辖区扩大,94228,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15088,221439,Jin Zhou,晋州,晉州,0,0,,Zhou,州,3,981,4,辖区扩大,1071,4,辖区扩大,94229,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15089,221440,Pingyang Fu,平阳府,平陽府,0,0,,Fu,府,3,1116,4,更名,1166,4,辖区缩小,94230,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15090,221441,Xi Zhou,隰州,隰州,0,0,,Zhou,州,3,758,4,更名,1071,4,辖区扩大,94231,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15091,221442,Nanxi Zhou,南隰州,南隰州,0,0,,Zhou,州,3,1128,4,更名,1150,4,更名,94232,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15092,221443,Xi Zhou,隰州,隰州,0,0,,Zhou,州,3,1151,4,更名,1217,4,撤销,94233,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15093,221444,Shi Zhou,石州,石州,0,0,,Zhou,州,3,758,4,更名,1217,4,撤销,94234,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15094,221445,Fen Zhou,汾州,汾州,0,0,,Zhou,州,3,758,4,更名,1217,4,撤销,94235,POLYGON,FROM_FD,王尚义袁钰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15095,221446,Xi Zhou,隰州,隰州,0,0,,Zhou,州,3,1072,4,辖区扩大,1085,4,辖区缩小,94236,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15096,221447,Xi Zhou,隰州,隰州,0,0,,Zhou,州,3,1086,4,辖区缩小,1127,4,更名,94237,POLYGON,FROM_FD,王尚义王杰,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
