fuzzy_nm,input_nm_trad,input_x_coord,input_year_beg,input_year_end,input_id,input_y_coord,input_dynasty,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
中丘,中丘,114.4448,24.0,220.0,PL000000001859,37.2766,东汉,not_found,False,False,False,False,,0
柏人,柏人,114.6242,24.0,220.0,PL000000001887,37.3531,东汉,not_found,False,False,False,False,,0
任縣,任縣,114.7768,24.0,220.0,PL000000001910,37.1295,东汉,not_found,False,False,False,False,,0
平鄉,平鄉,114.8839,24.0,220.0,PL000000001926,37.0149,东汉,not_found,False,False,False,False,,0
南和,南和,114.6968,24.0,220.0,PL000000001937,36.9988,东汉,not_found,False,False,False,False,,0
楊氏,楊氏,114.9249,24.0,220.0,PL000000001952,37.6204,东汉,not_found,False,False,False,False,,0
廮陶,廮陶,114.8479,24.0,220.0,PL000000001966,37.5136,东汉,not_found,False,False,False,False,,0
鉅鹿,鉅鹿,114.911,24.0,220.0,PL000000002001,36.9889,东汉,not_found,False,False,False,False,,0
經縣,經縣,115.266,24.0,220.0,PL000000002026,37.1327,东汉,not_found,False,False,False,False,,0
廣宗,廣宗,115.34,24.0,220.0,PL000000002035,36.973,东汉,not_found,False,False,False,False,,0
南宮,南宮,115.3501,24.0,220.0,PL000000002080,37.3778,东汉,not_found,False,False,False,False,,0
北平,北平,115.3431,24.0,220.0,PL000000002122,39.0223,东汉,not_found,False,False,False,False,,0
北平,北平邑,113.6937,24.0,220.0,PL000000004062,40.0247,东汉,not_found,False,False,False,False,,0
迺國,迺國,115.7176,24.0,220.0,PL000000002157,39.391,东汉,not_found,False,False,False,False,,0
北新,北新城,115.5701,24.0,220.0,PL000000002192,38.9951,东汉,not_found,False,False,False,False,,0
范陽,范陽,115.6938,24.0,220.0,PL000000002206,39.141999999999996,东汉,not_found,False,False,False,False,,0
望都,望都,115.0268,24.0,220.0,PL000000002228,38.7722,东汉,not_found,False,False,False,False,,0
高陽,高陽,115.913,24.0,220.0,PL000000002249,38.6889,东汉,not_found,False,False,False,False,,0
廣昌,廣昌,114.7066,24.0,220.0,PL000000002290,39.3844,东汉,not_found,False,False,False,False,,0
故安,故安,115.5788,24.0,220.0,PL000000002356,39.2813,东汉,not_found,False,False,False,False,,0
上曲,上曲陽,114.6694,24.0,220.0,PL000000002385,38.6203,东汉,not_found,False,False,False,False,,0
唐縣,唐縣,115.0748,24.0,220.0,PL000000002407,38.8437,东汉,not_found,False,False,False,False,,0
蒲陰,蒲陰,115.2265,24.0,220.0,PL000000002421,38.8108,东汉,not_found,False,False,False,False,,0
蠡吾,蠡吾,115.4581,24.0,220.0,PL000000002430,38.4401,东汉,not_found,False,False,False,False,,0
安國,安國,115.5961,24.0,220.0,PL000000002442,38.3482,东汉,not_found,False,False,False,False,,0
易縣,易縣,116.0689,24.0,220.0,PL000000002448,39.0174,东汉,not_found,False,False,False,False,,0
涿縣,涿縣,115.978,24.0,220.0,PL000000002479,39.4865,东汉,not_found,False,False,False,False,,0
盧奴,盧奴,114.9847,24.0,220.0,PL000000002524,38.5194,东汉,not_found,False,False,False,False,,0
安熹,安熹,115.1559,24.0,220.0,PL000000002530,38.4362,东汉,not_found,False,False,False,False,,0
漢昌,漢昌,115.0258,24.0,220.0,PL000000002535,38.3145,东汉,not_found,False,False,False,False,,0
漢昌,漢昌,106.7634,24.0,220.0,PL000000037229,31.8486,东汉,not_found,False,False,False,False,,0
廣寧,廣寧,114.8959,24.0,220.0,PL000000002572,40.7906,东汉,not_found,False,False,False,False,,0
當城,當城,114.8461,24.0,220.0,PL000000002640,40.0451,东汉,not_found,False,False,False,False,,0
雊瞀,雊瞀,114.9673,24.0,220.0,PL000000002642,40.0386,东汉,not_found,False,False,False,False,,0
代縣,代縣,114.6779,24.0,220.0,PL000000002648,39.887,东汉,not_found,False,False,False,False,,0
桑乾,桑乾,114.6374,24.0,220.0,PL000000002683,40.154,东汉,not_found,False,False,False,False,,0
東安,東安陽,114.3979,24.0,220.0,PL000000002697,40.0326,东汉,not_found,False,False,False,False,,0
東安,東安平,118.4216,24.0,220.0,PL000000020634,36.8679,东汉,not_found,False,False,False,False,,0
東安,東安,118.5628,24.0,220.0,PL000000021992,35.6644,东汉,not_found,False,False,False,False,,0
馬城,馬城,114.3792,24.0,220.0,PL000000002706,40.6722,东汉,not_found,False,False,False,False,,0
寧縣,寧縣,114.7447,24.0,220.0,PL000000002731,40.8643,东汉,not_found,False,False,False,False,,0
沮陽,沮陽,115.7113,24.0,220.0,PL000000002762,40.2813,东汉,not_found,False,False,False,False,,0
下落,下落,115.2247,24.0,220.0,PL000000002796,40.3759,东汉,not_found,False,False,False,False,,0
潘縣,潘縣,115.1173,24.0,220.0,PL000000002800,40.3234,东汉,not_found,False,False,False,False,,0
涿鹿,涿鹿,115.3987,24.0,220.0,PL000000002809,40.2109,东汉,not_found,False,False,False,False,,0
俊靡,俊靡,117.8652,24.0,220.0,PL000000002904,40.2956,东汉,not_found,False,False,False,False,,0
浮陽,浮陽,117.0401,24.0,220.0,PL000000003044,38.2373,东汉,not_found,False,False,False,False,,0
成平,成平,116.5704,24.0,220.0,PL000000003053,38.2228,东汉,not_found,False,False,False,False,,0
東平,東平舒,116.8013,24.0,220.0,PL000000003072,38.6796,东汉,not_found,False,False,False,False,,0
東平,東平陵,117.4193,24.0,220.0,PL000000020426,36.7617,东汉,not_found,False,False,False,False,,0
東平,東平陸,116.4878,24.0,220.0,PL000000021440,35.8193,东汉,not_found,False,False,False,False,,0
東光,東光,116.6611,24.0,220.0,PL000000003093,37.8853,东汉,not_found,False,False,False,False,,0
高城,高城,117.3256,24.0,220.0,PL000000003122,38.0064,东汉,not_found,False,False,False,False,,0
武垣,武垣,115.9092,24.0,220.0,PL000000003148,38.3832,东汉,not_found,False,False,False,False,,0
南皮,南皮,116.7259,24.0,220.0,PL000000003162,38.0857,东汉,not_found,False,False,False,False,,0
中水,中水,115.9963,24.0,220.0,PL000000003187,38.2937,东汉,not_found,False,False,False,False,,0
樂成,樂成,116.2067,24.0,220.0,PL000000003203,38.1576,东汉,not_found,False,False,False,False,,0
鄚縣,鄚縣,116.1348,24.0,220.0,PL000000003234,38.8732,东汉,not_found,False,False,False,False,,0
鄚縣,鄚縣,116.7305,24.0,220.0,PL000000015369,33.608000000000004,东汉,not_found,False,False,False,False,,0
章武,章武,117.1091,24.0,220.0,PL000000003266,38.542,东汉,not_found,False,False,False,False,,0
安次,安次,116.6518,24.0,220.0,PL000000003345,39.5391,东汉,not_found,False,False,False,False,,0
方城,方城,116.2627,24.0,220.0,PL000000003356,39.3804,东汉,not_found,False,False,False,False,,0
束州,束州,116.4551,24.0,220.0,PL000000003392,38.5661,东汉,not_found,False,False,False,False,,0
文安,文安,116.5432,24.0,220.0,PL000000003404,38.9626,东汉,not_found,False,False,False,False,,0
潞縣,潞縣,116.8201,24.0,220.0,PL000000003440,39.931,东汉,not_found,False,False,False,False,,0
潞縣,潞縣,113.3557,24.0,220.0,PL000000004346,36.4183,东汉,not_found,False,False,False,False,,0
武邑,武邑,115.9003,24.0,220.0,PL000000003485,37.8052,东汉,not_found,False,False,False,False,,0
觀津,觀津,116.0361,24.0,220.0,PL000000003491,37.7935,东汉,not_found,False,False,False,False,,0
武遂,武遂,115.9079,24.0,220.0,PL000000003503,38.1253,东汉,not_found,False,False,False,False,,0
饒陽,饒陽,115.8334,24.0,220.0,PL000000003523,38.2956,东汉,not_found,False,False,False,False,,0
安平,安平,115.5202,24.0,220.0,PL000000003548,38.2298,东汉,not_found,False,False,False,False,,0
東武,東武城,115.84100000000001,24.0,220.0,PL000000003566,37.1986,东汉,not_found,False,False,False,False,,0
東武,東武,119.4134,24.0,220.0,PL000000021153,35.9922,东汉,not_found,False,False,False,False,,0
東武,東武陽,115.7205,24.0,220.0,PL000000022386,36.1996,东汉,not_found,False,False,False,False,,0
弓高,弓高,116.1433,24.0,220.0,PL000000003575,37.7646,东汉,not_found,False,False,False,False,,0
脩縣,脩縣,116.2663,24.0,220.0,PL000000003598,37.6279,东汉,not_found,False,False,False,False,,0
廣川,廣川,115.9161,24.0,220.0,PL000000003606,37.5438,东汉,not_found,False,False,False,False,,0
扶柳,扶柳,115.4462,24.0,220.0,PL000000003631,37.6387,东汉,not_found,False,False,False,False,,0
堂陽,堂陽,115.2383,24.0,220.0,PL000000003637,37.5787,东汉,not_found,False,False,False,False,,0
信都,信都,115.5734,24.0,220.0,PL000000003658,37.5652,东汉,not_found,False,False,False,False,,0
下博,下博,115.679,24.0,220.0,PL000000003687,37.9416,东汉,not_found,False,False,False,False,,0
鄡縣,鄡縣,115.4282,24.0,220.0,PL000000003701,37.8685,东汉,not_found,False,False,False,False,,0
狼孟,狼孟,112.5782,24.0,220.0,PL000000003755,37.9891,东汉,not_found,False,False,False,False,,0
晉陽,晉陽,112.4799,24.0,220.0,PL000000003807,37.7513,东汉,not_found,False,False,False,False,,0
盂縣,盂縣,112.743,24.0,220.0,PL000000003852,38.1739,东汉,not_found,False,False,False,False,,0
平城,平城,113.3515,24.0,220.0,PL000000003910,40.1302,东汉,not_found,False,False,False,False,,0
高柳,高柳,113.762,24.0,220.0,PL000000003953,40.3532,东汉,not_found,False,False,False,False,,0
道人,道人,113.9853,24.0,220.0,PL000000003961,40.115,东汉,not_found,False,False,False,False,,0
狋氏,狋氏,113.9444,24.0,220.0,PL000000003963,39.9544,东汉,not_found,False,False,False,False,,0
平舒,平舒,114.2242,24.0,220.0,PL000000003991,39.7727,东汉,not_found,False,False,False,False,,0
崞縣,崞縣,113.6159,24.0,220.0,PL000000004022,39.711,东汉,not_found,False,False,False,False,,0
繁畤,繁畤,113.51,24.0,220.0,PL000000004032,39.6128,东汉,not_found,False,False,False,False,,0
上艾,上艾,113.6318,24.0,220.0,PL000000004088,37.8014,东汉,not_found,False,False,False,False,,0
壺關,壺關,113.0997,24.0,220.0,PL000000004143,36.3341,东汉,not_found,False,False,False,False,,0
襄垣,襄垣,113.008,24.0,220.0,PL000000004174,36.6492,东汉,not_found,False,False,False,False,,0
屯留,屯留,112.9016,24.0,220.0,PL000000004207,36.2524,东汉,not_found,False,False,False,False,,0
長子,長子,112.8407,24.0,220.0,PL000000004254,36.1107,东汉,not_found,False,False,False,False,,0
涅縣,涅縣,112.6651,24.0,220.0,PL000000004268,36.9545,东汉,not_found,False,False,False,False,,0
銅鞮,銅鞮,112.6952,24.0,220.0,PL000000004304,36.6041,东汉,not_found,False,False,False,False,,0
高都,高都,112.8484,24.0,220.0,PL000000004375,35.5037,东汉,not_found,False,False,False,False,,0
端氏,端氏,112.3564,24.0,220.0,PL000000004382,35.747,东汉,not_found,False,False,False,False,,0
陽阿,陽阿,112.3159,24.0,220.0,PL000000004410,35.5984,东汉,not_found,False,False,False,False,,0
濩澤,濩澤,112.2636,24.0,220.0,PL000000004416,35.4978,东汉,not_found,False,False,False,False,,0
泫氏,泫氏,112.9289,24.0,220.0,PL000000004496,35.7914,东汉,not_found,False,False,False,False,,0
馬邑,馬邑,112.4312,24.0,220.0,PL000000004514,39.3076,东汉,not_found,False,False,False,False,,0
陰館,陰館,112.7205,24.0,220.0,PL000000004518,39.2393,东汉,not_found,False,False,False,False,,0
中陵,中陵,112.2004,24.0,220.0,PL000000004546,39.7672,东汉,not_found,False,False,False,False,,0
劇陽,劇陽,113.3051,24.0,220.0,PL000000004577,39.6134,东汉,not_found,False,False,False,False,,0
汪陶,汪陶,113.1299,24.0,220.0,PL000000004588,39.5525,东汉,not_found,False,False,False,False,,0
善無,善無,112.3867,24.0,220.0,PL000000004624,39.9954,东汉,not_found,False,False,False,False,,0
班氏,班氏,113.3798,24.0,220.0,PL000000004633,39.8489,东汉,not_found,False,False,False,False,,0
榆次,榆次,112.7542,24.0,220.0,PL000000004660,37.6779,东汉,not_found,False,False,False,False,,0
沾縣,沾縣,113.4776,24.0,220.0,PL000000004732,37.5035,东汉,not_found,False,False,False,False,,0
陽邑,陽邑,112.7749,24.0,220.0,PL000000004762,37.4976,东汉,not_found,False,False,False,False,,0
祁縣,祁縣,112.3501,24.0,220.0,PL000000004795,37.3335,东汉,not_found,False,False,False,False,,0
京陵,京陵,112.2315,24.0,220.0,PL000000004815,37.1962,东汉,not_found,False,False,False,False,,0
中都,中都,112.1248,24.0,220.0,PL000000004820,37.1702,东汉,not_found,False,False,False,False,,0
鄔縣,鄔縣,112.0413,24.0,220.0,PL000000004867,37.0863,东汉,not_found,False,False,False,False,,0
界休,界休,111.9868,24.0,220.0,PL000000004880,36.9901,东汉,not_found,False,False,False,False,,0
解縣,解縣,110.6331,24.0,220.0,PL000000004943,35.0746,东汉,not_found,False,False,False,False,,0
猗氏,猗氏,110.7654,24.0,220.0,PL000000004948,35.0571,东汉,not_found,False,False,False,False,,0
汾陰,汾陰,110.5293,24.0,220.0,PL000000004959,35.3785,东汉,not_found,False,False,False,False,,0
聞喜,聞喜,111.2264,24.0,220.0,PL000000004999,35.3572,东汉,not_found,False,False,False,False,,0
臨汾,臨汾,111.3313,24.0,220.0,PL000000005023,35.6973,东汉,not_found,False,False,False,False,,0
東垣,東垣,111.7915,24.0,220.0,PL000000005067,35.1815,东汉,not_found,False,False,False,False,,0
安邑,安邑,111.1641,24.0,220.0,PL000000005088,35.18,东汉,not_found,False,False,False,False,,0
大陽,大陽,111.1728,24.0,220.0,PL000000005118,34.8323,东汉,not_found,False,False,False,False,,0
河北,河北,110.6341,24.0,220.0,PL000000005151,34.6954,东汉,not_found,False,False,False,False,,0
蒲坂,蒲坂,110.3281,24.0,220.0,PL000000005221,34.8656,东汉,not_found,False,False,False,False,,0
皮氏,皮氏,110.70700000000001,24.0,220.0,PL000000005241,35.5869,东汉,not_found,False,False,False,False,,0
陽曲,陽曲,112.9759,24.0,220.0,PL000000005307,38.4702,东汉,not_found,False,False,False,False,,0
慮虒,慮虒,113.265,24.0,220.0,PL000000005431,38.742,东汉,not_found,False,False,False,False,,0
廣武,廣武,112.8625,24.0,220.0,PL000000005481,39.009,东汉,not_found,False,False,False,False,,0
鹵城,鹵城,113.7535,24.0,220.0,PL000000005510,39.328,东汉,not_found,False,False,False,False,,0
埒縣,埒縣,112.2704,24.0,220.0,PL000000005568,39.0975,东汉,not_found,False,False,False,False,,0
樓煩,樓煩,112.2704,24.0,220.0,PL000000005569,39.0975,东汉,not_found,False,False,False,False,,0
武州,武州,111.9586,24.0,220.0,PL000000005637,39.5517,东汉,not_found,False,False,False,False,,0
原平,原平,112.7567,24.0,220.0,PL000000005666,38.7228,东汉,not_found,False,False,False,False,,0
平陽,平陽,111.4192,24.0,220.0,PL000000005696,36.0458,东汉,not_found,False,False,False,False,,0
襄陵,襄陵,111.6374,24.0,220.0,PL000000005718,35.9998,东汉,not_found,False,False,False,False,,0
楊縣,楊縣,111.7598,24.0,220.0,PL000000005802,36.1882,东汉,not_found,False,False,False,False,,0
陭氏,陭氏,112.2164,24.0,220.0,PL000000005824,36.1184,东汉,not_found,False,False,False,False,,0
北屈,北屈,110.69,24.0,220.0,PL000000005856,36.1854,东汉,not_found,False,False,False,False,,0
蒲子,蒲子,110.94,24.0,220.0,PL000000005924,36.6872,东汉,not_found,False,False,False,False,,0
絳邑,絳邑,111.4333,24.0,220.0,PL000000005975,35.6264,东汉,not_found,False,False,False,False,,0
永安,永安,111.7374,24.0,220.0,PL000000005993,36.5633,东汉,not_found,False,False,False,False,,0
皋狼,皋狼,111.0419,24.0,220.0,PL000000006000,37.6198,东汉,not_found,False,False,False,False,,0
離石,離石,111.1446,24.0,220.0,PL000000006021,37.5097,东汉,not_found,False,False,False,False,,0
大陵,大陵,112.1011,24.0,220.0,PL000000006034,37.4821,东汉,not_found,False,False,False,False,,0
平陶,平陶,111.98299999999999,24.0,220.0,PL000000006044,37.3677,东汉,not_found,False,False,False,False,,0
藺縣,藺縣,110.8669,24.0,220.0,PL000000006097,37.5237,东汉,not_found,False,False,False,False,,0
中陽,中陽,111.1975,24.0,220.0,PL000000006158,37.3391,东汉,not_found,False,False,False,False,,0
平周,平周,111.7183,24.0,220.0,PL000000006193,37.0136,东汉,not_found,False,False,False,False,,0
茲氏,茲氏,111.8258,24.0,220.0,PL000000006230,37.1957,东汉,not_found,False,False,False,False,,0
武泉,武泉,111.7979,24.0,220.0,PL000000006237,40.8879,东汉,not_found,False,False,False,False,,0
北輿,北輿,111.6607,24.0,220.0,PL000000006244,40.8009,东汉,not_found,False,False,False,False,,0
定襄,定襄,112.0435,24.0,220.0,PL000000006251,40.6788,东汉,not_found,False,False,False,False,,0
雲中,雲中,111.3347,24.0,220.0,PL000000006273,40.5357,东汉,not_found,False,False,False,False,,0
沙陵,沙陵,111.1462,24.0,220.0,PL000000006280,40.3301,东汉,not_found,False,False,False,False,,0
成樂,成樂,111.7773,24.0,220.0,PL000000006296,40.4752,东汉,not_found,False,False,False,False,,0
武進,武進,112.1198,24.0,220.0,PL000000006300,40.4668,东汉,not_found,False,False,False,False,,0
箕陵,箕陵,111.4168,24.0,220.0,PL000000006324,40.0723,东汉,not_found,False,False,False,False,,0
武成,武成,111.6804,24.0,220.0,PL000000006328,39.9378,东汉,not_found,False,False,False,False,,0
桐過,桐過,111.4726,24.0,220.0,PL000000006329,39.9196,东汉,not_found,False,False,False,False,,0
駱縣,駱縣,111.5906,24.0,220.0,PL000000006333,39.7851,东汉,not_found,False,False,False,False,,0
九原,九原,109.7665,24.0,220.0,PL000000006349,40.6337,东汉,not_found,False,False,False,False,,0
宜梁,宜梁,109.4825,24.0,220.0,PL000000006361,40.6084,东汉,not_found,False,False,False,False,,0
臨沃,臨沃,109.85,24.0,220.0,PL000000006363,40.5805,东汉,not_found,False,False,False,False,,0
咸陽,咸陽,110.6926,24.0,220.0,PL000000006375,40.556999999999995,东汉,not_found,False,False,False,False,,0
