fuzzy_nm,tgaz_prnt_py,tgaz_type_py,tgaz_x_coord,tgaz_beg,tgaz_pres_loc,tgaz_prnt_id,tgaz_end,tgaz_type_ch,tgaz_obj_type,tgaz_data_source,tgaz_nm_simp,tgaz_y_coord,tgaz_nm_py,tgaz_prnt_sysid,tgaz_sys_id,tgaz_nm_trad,tgaz_prnt_simp,input_nm_trad,input_dynasty,input_y_coord,input_x_coord,input_year_beg,input_year_end,input_id,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
元城,,,,,,,,,,,,,,,,,,元城,东汉,36.3218,115.3135,24.0,220.0,PL000000001527,not_found,False,False,False,False,,0
魏縣,,,,,,,,,,,,,,,,,,魏縣,东汉,36.2625,115.094,24.0,220.0,PL000000001555,not_found,False,False,False,False,,0
涉國,,,,,,,,,,,,,,,,,,涉國,东汉,36.5654,113.649,24.0,220.0,PL000000001572,not_found,False,False,False,False,,0
梁期,,,,,,,,,,,,,,,,,,梁期,东汉,36.4734,114.4703,24.0,220.0,PL000000001598,not_found,False,False,False,False,,0
列人,,,,,,,,,,,,,,,,,,列人,东汉,36.6208,114.851,24.0,220.0,PL000000001622,not_found,False,False,False,False,,0
廣年,,,,,,,,,,,,,,,,,,廣年,东汉,36.797,114.6862,24.0,220.0,PL000000001643,not_found,False,False,False,False,,0
易陽,,,,,,,,,,,,,,,,,,易陽,东汉,36.7102,114.6355,24.0,220.0,PL000000001654,not_found,False,False,False,False,,0
曲梁,,,,,,,,,,,,,,,,,,曲梁,东汉,36.7087,114.73899999999999,24.0,220.0,PL000000001658,not_found,False,False,False,False,,0
曲周,,,,,,,,,,,,,,,,,,曲周,东汉,36.9001,115.0811,24.0,220.0,PL000000001681,not_found,False,False,False,False,,0
斥丘,,,,,,,,,,,,,,,,,,斥丘,东汉,36.3966,114.8475,24.0,220.0,PL000000001709,not_found,False,False,False,False,,0
清淵,,,,,,,,,,,,,,,,,,清淵,东汉,36.6941,115.3895,24.0,220.0,PL000000001716,not_found,False,False,False,False,,0
館陶,,,,,,,,,,,,,,,,,,館陶,东汉,36.5335,115.3076,24.0,220.0,PL000000001732,not_found,False,False,False,False,,0
廣平,,,,,,,,,,,,,,,,,,廣平,东汉,36.8966,114.9722,24.0,220.0,PL000000001746,not_found,False,False,False,False,,0
斥章,,,,,,,,,,,,,,,,,,斥章,东汉,36.7222,114.9426,24.0,220.0,PL000000001758,not_found,False,False,False,False,,0
平恩,,,,,,,,,,,,,,,,,,平恩,东汉,36.7013,115.1131,24.0,220.0,PL000000001764,not_found,False,False,False,False,,0
武安,,,,,,,,,,,,,,,,,,武安,东汉,36.6753,114.1734,24.0,220.0,PL000000001781,not_found,False,False,False,False,,0
襄國,,,,,,,,,,,,,,,,,,襄國,东汉,37.0656,114.5037,24.0,220.0,PL000000001815,not_found,False,False,False,False,,0
中丘,,,,,,,,,,,,,,,,,,中丘,东汉,37.2766,114.4448,24.0,220.0,PL000000001859,not_found,False,False,False,False,,0
柏人,,,,,,,,,,,,,,,,,,柏人,东汉,37.3531,114.6242,24.0,220.0,PL000000001887,not_found,False,False,False,False,,0
任縣,,,,,,,,,,,,,,,,,,任縣,东汉,37.1295,114.7768,24.0,220.0,PL000000001910,not_found,False,False,False,False,,0
平鄉,,,,,,,,,,,,,,,,,,平鄉,东汉,37.0149,114.8839,24.0,220.0,PL000000001926,not_found,False,False,False,False,,0
南和,,,,,,,,,,,,,,,,,,南和,东汉,36.9988,114.6968,24.0,220.0,PL000000001937,not_found,False,False,False,False,,0
楊氏,,,,,,,,,,,,,,,,,,楊氏,东汉,37.6204,114.9249,24.0,220.0,PL000000001952,not_found,False,False,False,False,,0
廮陶,,,,,,,,,,,,,,,,,,廮陶,东汉,37.5136,114.8479,24.0,220.0,PL000000001966,not_found,False,False,False,False,,0
鉅鹿,,,,,,,,,,,,,,,,,,鉅鹿,东汉,36.9889,114.911,24.0,220.0,PL000000002001,not_found,False,False,False,False,,0
經縣,,,,,,,,,,,,,,,,,,經縣,东汉,37.1327,115.266,24.0,220.0,PL000000002026,not_found,False,False,False,False,,0
廣宗,,,,,,,,,,,,,,,,,,廣宗,东汉,36.973,115.34,24.0,220.0,PL000000002035,not_found,False,False,False,False,,0
南宮,,,,,,,,,,,,,,,,,,南宮,东汉,37.3778,115.3501,24.0,220.0,PL000000002080,not_found,False,False,False,False,,0
北平,,,,,,,,,,,,,,,,,,北平,东汉,39.0223,115.3431,24.0,220.0,PL000000002122,not_found,False,False,False,False,,0
北平,,,,,,,,,,,,,,,,,,北平邑,东汉,40.0247,113.6937,24.0,220.0,PL000000004062,not_found,False,False,False,False,,0
迺國,,,,,,,,,,,,,,,,,,迺國,东汉,39.391,115.7176,24.0,220.0,PL000000002157,not_found,False,False,False,False,,0
北新,,,,,,,,,,,,,,,,,,北新城,东汉,38.9951,115.5701,24.0,220.0,PL000000002192,not_found,False,False,False,False,,0
范陽,,,,,,,,,,,,,,,,,,范陽,东汉,39.141999999999996,115.6938,24.0,220.0,PL000000002206,not_found,False,False,False,False,,0
望都,,,,,,,,,,,,,,,,,,望都,东汉,38.7722,115.0268,24.0,220.0,PL000000002228,not_found,False,False,False,False,,0
高陽,,,,,,,,,,,,,,,,,,高陽,东汉,38.6889,115.913,24.0,220.0,PL000000002249,not_found,False,False,False,False,,0
廣昌,,,,,,,,,,,,,,,,,,廣昌,东汉,39.3844,114.7066,24.0,220.0,PL000000002290,not_found,False,False,False,False,,0
故安,,,,,,,,,,,,,,,,,,故安,东汉,39.2813,115.5788,24.0,220.0,PL000000002356,not_found,False,False,False,False,,0
上曲,,,,,,,,,,,,,,,,,,上曲陽,东汉,38.6203,114.6694,24.0,220.0,PL000000002385,not_found,False,False,False,False,,0
唐縣,,,,,,,,,,,,,,,,,,唐縣,东汉,38.8437,115.0748,24.0,220.0,PL000000002407,not_found,False,False,False,False,,0
蒲陰,,,,,,,,,,,,,,,,,,蒲陰,东汉,38.8108,115.2265,24.0,220.0,PL000000002421,not_found,False,False,False,False,,0
蠡吾,,,,,,,,,,,,,,,,,,蠡吾,东汉,38.4401,115.4581,24.0,220.0,PL000000002430,not_found,False,False,False,False,,0
安國,,,,,,,,,,,,,,,,,,安國,东汉,38.3482,115.5961,24.0,220.0,PL000000002442,not_found,False,False,False,False,,0
易縣,,,,,,,,,,,,,,,,,,易縣,东汉,39.0174,116.0689,24.0,220.0,PL000000002448,not_found,False,False,False,False,,0
涿縣,,,,,,,,,,,,,,,,,,涿縣,东汉,39.4865,115.978,24.0,220.0,PL000000002479,not_found,False,False,False,False,,0
盧奴,,,,,,,,,,,,,,,,,,盧奴,东汉,38.5194,114.9847,24.0,220.0,PL000000002524,not_found,False,False,False,False,,0
安熹,,,,,,,,,,,,,,,,,,安熹,东汉,38.4362,115.1559,24.0,220.0,PL000000002530,not_found,False,False,False,False,,0
漢昌,,,,,,,,,,,,,,,,,,漢昌,东汉,38.3145,115.0258,24.0,220.0,PL000000002535,not_found,False,False,False,False,,0
漢昌,,,,,,,,,,,,,,,,,,漢昌,东汉,31.8486,106.7634,24.0,220.0,PL000000037229,not_found,False,False,False,False,,0
廣寧,,,,,,,,,,,,,,,,,,廣寧,东汉,40.7906,114.8959,24.0,220.0,PL000000002572,not_found,False,False,False,False,,0
當城,,,,,,,,,,,,,,,,,,當城,东汉,40.0451,114.8461,24.0,220.0,PL000000002640,not_found,False,False,False,False,,0
雊瞀,,,,,,,,,,,,,,,,,,雊瞀,东汉,40.0386,114.9673,24.0,220.0,PL000000002642,not_found,False,False,False,False,,0
代縣,,,,,,,,,,,,,,,,,,代縣,东汉,39.887,114.6779,24.0,220.0,PL000000002648,not_found,False,False,False,False,,0
桑乾,,,,,,,,,,,,,,,,,,桑乾,东汉,40.154,114.6374,24.0,220.0,PL000000002683,not_found,False,False,False,False,,0
東安,,,,,,,,,,,,,,,,,,東安陽,东汉,40.0326,114.3979,24.0,220.0,PL000000002697,not_found,False,False,False,False,,0
東安,,,,,,,,,,,,,,,,,,東安平,东汉,36.8679,118.4216,24.0,220.0,PL000000020634,not_found,False,False,False,False,,0
東安,,,,,,,,,,,,,,,,,,東安,东汉,35.6644,118.5628,24.0,220.0,PL000000021992,not_found,False,False,False,False,,0
馬城,,,,,,,,,,,,,,,,,,馬城,东汉,40.6722,114.3792,24.0,220.0,PL000000002706,not_found,False,False,False,False,,0
寧縣,,,,,,,,,,,,,,,,,,寧縣,东汉,40.8643,114.7447,24.0,220.0,PL000000002731,not_found,False,False,False,False,,0
沮陽,,,,,,,,,,,,,,,,,,沮陽,东汉,40.2813,115.7113,24.0,220.0,PL000000002762,not_found,False,False,False,False,,0
下落,,,,,,,,,,,,,,,,,,下落,东汉,40.3759,115.2247,24.0,220.0,PL000000002796,not_found,False,False,False,False,,0
潘縣,,,,,,,,,,,,,,,,,,潘縣,东汉,40.3234,115.1173,24.0,220.0,PL000000002800,not_found,False,False,False,False,,0
涿鹿,,,,,,,,,,,,,,,,,,涿鹿,东汉,40.2109,115.3987,24.0,220.0,PL000000002809,not_found,False,False,False,False,,0
俊靡,,,,,,,,,,,,,,,,,,俊靡,东汉,40.2956,117.8652,24.0,220.0,PL000000002904,not_found,False,False,False,False,,0
浮陽,,,,,,,,,,,,,,,,,,浮陽,东汉,38.2373,117.0401,24.0,220.0,PL000000003044,not_found,False,False,False,False,,0
成平,,,,,,,,,,,,,,,,,,成平,东汉,38.2228,116.5704,24.0,220.0,PL000000003053,not_found,False,False,False,False,,0
東平,,,,,,,,,,,,,,,,,,東平舒,东汉,38.6796,116.8013,24.0,220.0,PL000000003072,not_found,False,False,False,False,,0
